date	close	open
24-Apr-07	93.24	191.9629286
25-Apr-07	95.35	130.187864
26-Apr-07	98.84	178.6131451
27-Apr-07	99.92	173.3261026
30-Apr-07	99.8	162.5837934
1-May-07	99.47	163.5387536
2-May-07	100.39	140.6702172
3-May-07	100.4	149.1875078
4-May-07	100.81	151.5886857
7-May-07	103.92	161.4213592
8-May-07	105.06	185.4817864
9-May-07	106.88	142.913235
10-May-07	107.34	119.1798608
11-May-07	108.74	140.8893884
14-May-07	109.36	124.0907012
15-May-07	107.52	149.1471333
16-May-07	107.34	174.6405117
17-May-07	109.44	187.800701
18-May-07	110.02	151.3873933
21-May-07	111.98	133.9860617
22-May-07	113.54	183.044384
23-May-07	112.89	113.0252636
24-May-07	110.69	116.1243269
25-May-07	113.62	148.2960348
29-May-07	114.35	210.7334449
30-May-07	118.77	156.3624261
31-May-07	121.19	161.1628795
1-Jun-07	118.4	120.4718149
4-Jun-07	121.33	214.4208852
5-Jun-07	122.67	175.4575034
6-Jun-07	123.64	152.2099296
7-Jun-07	124.07	181.4318606
8-Jun-07	124.49	152.6340882
11-Jun-07	120.19	178.3982269
12-Jun-07	120.38	127.1123369
13-Jun-07	117.5	177.2341651
14-Jun-07	118.75	166.7747716
15-Jun-07	120.5	169.0293307
18-Jun-07	125.09	148.6060323
19-Jun-07	123.66	220.7986485
20-Jun-07	121.55	173.7139485
21-Jun-07	123.9	133.202228
22-Jun-07	123	199.9599854
25-Jun-07	122.34	125.7161621
26-Jun-07	119.65	192.5233947
27-Jun-07	121.89	122.7955796
28-Jun-07	120.56	194.0490306
29-Jun-07	122.04	154.0805422
2-Jul-07	121.26	161.972931
3-Jul-07	127.17	224.0909555
5-Jul-07	132.75	227.8234512
6-Jul-07	132.3	227.1562298
9-Jul-07	130.33	132.0279841
10-Jul-07	132.35	155.1558625
11-Jul-07	132.39	177.8823696
12-Jul-07	134.07	137.310473
13-Jul-07	137.73	170.3979164
16-Jul-07	138.1	145.2835789
17-Jul-07	138.91	209.0746434
18-Jul-07	138.12	205.9191697
19-Jul-07	140	205.7440644
20-Jul-07	143.75	189.718317
23-Jul-07	143.7	178.1443136
24-Jul-07	134.89	169.7355498
25-Jul-07	137.26	193.2008167
26-Jul-07	146	176.8125765
27-Jul-07	143.85	189.8760238
30-Jul-07	141.43	174.8057881
31-Jul-07	131.76	219.0287764
1-Aug-07	135	212.4579208
2-Aug-07	136.49	184.2757886
3-Aug-07	131.85	173.1879874
6-Aug-07	135.25	148.7263209
7-Aug-07	135.03	225.7231651
8-Aug-07	134.01	207.3839044
9-Aug-07	126.39	204.3972094
10-Aug-07	125	127.0228477
13-Aug-07	127.79	163.4190003
14-Aug-07	124.03	216.6926795
15-Aug-07	119.9	137.5569691
16-Aug-07	117.05	152.1771852
17-Aug-07	122.06	124.9816485
20-Aug-07	122.22	160.8475684
21-Aug-07	127.57	217.1237816
22-Aug-07	132.51	188.1148212
23-Aug-07	131.07	176.0820046
24-Aug-07	135.3	208.0576972
27-Aug-07	132.25	179.8168846
28-Aug-07	126.82	171.1050451
29-Aug-07	134.08	179.8001394
30-Aug-07	136.25	178.9043444
31-Aug-07	138.48	156.3940257
4-Sep-07	144.16	222.0397535
5-Sep-07	136.76	183.5084655
6-Sep-07	135.01	228.5511753
7-Sep-07	131.77	140.0992485
10-Sep-07	136.71	219.4889111
11-Sep-07	135.49	214.4382502
12-Sep-07	136.85	219.6983325
13-Sep-07	137.2	191.8156451
14-Sep-07	138.81	145.7788271
17-Sep-07	138.41	204.9529997
18-Sep-07	140.92	181.1256711
